stuId,age,fatherName,motherName,immunizations,firstName,lastName,registerTime
100001,12,Aber Smith,Emma Smith,null,Jimmy,Smith,10/12/2019
100002,12,Bob Johnson,Madison Jahnson,null,Sally,Johnson,10/28/2019
100003,62,Cather Williams,Mia Williams,null,Lizzy,Williams,05/18/2019
100004,32,David Jones,Eco Jones,null,Markie,Jones,09/02/2019
100005,12,Efia Brown,Alysa Brown,null,Johnny,Brown,07/13/2019
100006,48,Fish Davis,Ella Davis,null,Bobby,Davis,07/12/2019
100007,26,Greg Miller,Cath Miller,null,Billy,Miller,09/15/2019
100008,40,Heidi Wilson,Cash Wilson,null,Evie,Wilson,10/13/2019
100009,29,Iven Moore,Ellien Moore,null,Becky,Moore,12/13/2019
100010,14,Jason Taylor,Grace Taylor,null,Jessie,Taylor,11/12/2019
100011,12,Ket Anderson,Sheri Anderson,null,Jackie,Anderson,09/06/2019
100012,27,Lao Thomas,Sheila Thomas,null,Laurie,Thomas,01/13/2019
100013,12,Miller Jackson,Mind Jackson,null,Cathey,Jackson,11/11/2019
100014,63,Nether White,Wind White,null,Millie,White,04/07/2019
100015,34,Oper Hartin,Lile Hartin,null,Ruthie,Hartin,03/13/2019
100016,53,Peter Garica,Kyle Garica,null,Stanley,Garica,10/23/2019
100017,41,Qi Martinez,Brook Martinez,null,Mary,Martinez,11/12/2019
100018,30,Real Robinson,Jerry Robinson,null,Annie,Robinson,11/24/2019
